Station,Crime_Category,sum
Kwandengane,Burglary at non-residential premises,58.0
Kwandengane,Burglary at residential premises,58.0
Kwandengane,Stock-theft,174.0
Kwandengane,Shoplifting,0.0
Kwandengane,Theft of motor vehicle and motorcycle,2.0
Kwandengane,Theft out of or from motor vehicle,0.0
Kwandengane,All theft not mentioned elsewhere,49.0
Kwandengane,Arson,31.0
Kwandengane,Malicious damage to property,36.0
Kwandengane,Commercial crime,10.0
Kwandengane,Drug-related crime,23.0
Kwandengane,Driving under the influence of alcohol or drugs,1.0
Kwandengane,Illegal possession of firearms and ammunition,81.0
Kwandengane,Carjacking,1.0
Kwandengane,Truck hijacking,0.0
Kwandengane,Robbery of cash in transit,0.0
Kwandengane,Bank robbery,0.0
Kwandengane,Robbery at residential premises,13.0
Kwandengane,Robbery at non-residential premises,34.0
Kwandengane,Attempted sexual offences,2.0
Kwandengane,Contact sexual offences,3.0
Kwandengane,Sexual offences detected as a result of police action,0.0
Kwandengane,Sexual offences,159.0
Kwandengane,TRIO crime,48.0
Kwandengane,Contact crime (Crimes against the person),601.0
Kwandengane,Contact-related crime,67.0
Kwandengane,Property-related crime,292.0
Kwandengane,Other serious crime,59.0
Kwandengane,Crime detected as a result of police action,105.0
Kwandengane,17 Community reported serious crime,1019.0
Lukholweni,Murder,51.0
Lukholweni,Attempted murder,11.0
Lukholweni,Robbery with aggravating circumstances,25.0
Lukholweni,Common robbery,8.0
Lukholweni,Rape,71.0
Lukholweni,Sexual assault,17.0
Lukholweni,Kidnapping,4.0
Lukholweni,Assault with the intent to inflict grievous bodily harm,275.0
Lukholweni,Common assault,44.0
Lukholweni,Burglary at non-residential premises,43.0
Lukholweni,Burglary at residential premises,76.0
Lukholweni,Stock-theft,99.0
Lukholweni,Shoplifting,0.0
Lukholweni,Theft of motor vehicle and motorcycle,3.0
Lukholweni,Theft out of or from motor vehicle,4.0
Lukholweni,All theft not mentioned elsewhere,34.0
Lukholweni,Arson,16.0
Lukholweni,Malicious damage to property,52.0
Lukholweni,Commercial crime,6.0
Lukholweni,Drug-related crime,86.0
Lukholweni,Driving under the influence of alcohol or drugs,2.0
Lukholweni,Illegal possession of firearms and ammunition,4.0
Lukholweni,Carjacking,1.0
Lukholweni,Truck hijacking,0.0
Lukholweni,Robbery of cash in transit,0.0
Lukholweni,Bank robbery,0.0
Lukholweni,Robbery at residential premises,11.0
Lukholweni,Robbery at non-residential premises,12.0
Lukholweni,Attempted sexual offences,2.0
Lukholweni,Contact sexual offences,2.0
Lukholweni,Sexual offences detected as a result of police action,0.0
Lukholweni,Sexual offences,92.0
Lukholweni,TRIO crime,24.0
Lukholweni,Contact crime (Crimes against the person),506.0
Lukholweni,Contact-related crime,68.0
Lukholweni,Property-related crime,225.0
Lukholweni,Other serious crime,40.0
Lukholweni,Crime detected as a result of police action,92.0
Lukholweni,17 Community reported serious crime,839.0
Maloti,Murder,472.0
Maloti,Attempted murder,162.0
Maloti,Robbery with aggravating circumstances,593.0
Maloti,Common robbery,125.0
Maloti,Rape,911.0
Maloti,Sexual assault,43.0
Maloti,Kidnapping,40.0
Maloti,Assault with the intent to inflict grievous bodily harm,2239.0
Maloti,Common assault,396.0
Maloti,Burglary at non-residential premises,411.0
Maloti,Burglary at residential premises,1981.0
Maloti,Stock-theft,1783.0
Maloti,Shoplifting,15.0
Maloti,Theft of motor vehicle and motorcycle,32.0
Maloti,Theft out of or from motor vehicle,141.0
Maloti,All theft not mentioned elsewhere,994.0
Maloti,Arson,73.0
Maloti,Malicious damage to property,747.0
Maloti,Commercial crime,181.0
Maloti,Drug-related crime,567.0
Maloti,Driving under the influence of alcohol or drugs,237.0
Maloti,Illegal possession of firearms and ammunition,230.0
Maloti,Carjacking,8.0
Maloti,Truck hijacking,0.0
Maloti,Robbery of cash in transit,1.0
Maloti,Bank robbery,0.0
Maloti,Robbery at residential premises,244.0
Maloti,Robbery at non-residential premises,149.0
Maloti,Attempted sexual offences,104.0
Maloti,Contact sexual offences,6.0
Maloti,Sexual offences detected as a result of police action,1.0
Maloti,Sexual offences,1064.0
Maloti,TRIO crime,401.0
Maloti,Contact crime (Crimes against the person),5051.0
Maloti,Contact-related crime,820.0
Maloti,Property-related crime,4348.0
Maloti,Other serious crime,1190.0
Maloti,Crime detected as a result of police action,1035.0
Maloti,17 Community reported serious crime,11409.0
Matatiele,Murder,124.0
Matatiele,Attempted murder,51.0
Matatiele,Robbery with aggravating circumstances,212.0
Matatiele,Common robbery,117.0
Matatiele,Rape,231.0
Matatiele,Sexual assault,41.0
Matatiele,Kidnapping,19.0
Matatiele,Assault with the intent to inflict grievous bodily harm,631.0
Matatiele,Common assault,520.0
Matatiele,Burglary at non-residential premises,376.0
Matatiele,Burglary at residential premises,759.0
Matatiele,Stock-theft,154.0
Matatiele,Shoplifting,723.0
Matatiele,Theft of motor vehicle and motorcycle,68.0
Matatiele,Theft out of or from motor vehicle,377.0
Matatiele,All theft not mentioned elsewhere,921.0
Matatiele,Arson,19.0
Matatiele,Malicious damage to property,291.0
Matatiele,Commercial crime,1500.0
Matatiele,Drug-related crime,1102.0
Matatiele,Driving under the influence of alcohol or drugs,577.0
Matatiele,Illegal possession of firearms and ammunition,79.0
Matatiele,Carjacking,0.0
Matatiele,Truck hijacking,0.0
Matatiele,Robbery of cash in transit,0.0
Matatiele,Bank robbery,0.0
Matatiele,Robbery at residential premises,22.0
Matatiele,Robbery at non-residential premises,52.0
Matatiele,Attempted sexual offences,9.0
Matatiele,Contact sexual offences,1.0
Matatiele,Sexual offences detected as a result of police action,2.0
Matatiele,Sexual offences,282.0
Matatiele,TRIO crime,74.0
Matatiele,Contact crime (Crimes against the person),1937.0
Matatiele,Contact-related crime,310.0
Matatiele,Property-related crime,1734.0
Matatiele,Other serious crime,3144.0
Matatiele,Crime detected as a result of police action,1760.0
Matatiele,17 Community reported serious crime,7125.0
Mbizana,Murder,562.0
Mbizana,Attempted murder,217.0
Mbizana,Robbery with aggravating circumstances,713.0
Mbizana,Common robbery,132.0
Mbizana,Rape,1190.0
Mbizana,Sexual assault,60.0
Mbizana,Kidnapping,73.0
Mbizana,Assault with the intent to inflict grievous bodily harm,1727.0
Mbizana,Common assault,750.0
Mbizana,Burglary at non-residential premises,589.0
Mbizana,Burglary at residential premises,1290.0
Mbizana,Stock-theft,974.0
Mbizana,Shoplifting,836.0
Mbizana,Theft of motor vehicle and motorcycle,89.0
Mbizana,Theft out of or from motor vehicle,365.0
Mbizana,All theft not mentioned elsewhere,1274.0
Mbizana,Arson,123.0
Mbizana,Malicious damage to property,659.0
Mbizana,Commercial crime,1294.0
Mbizana,Drug-related crime,437.0
Mbizana,Driving under the influence of alcohol or drugs,678.0
Mbizana,Illegal possession of firearms and ammunition,166.0
Mbizana,Carjacking,46.0
Mbizana,Truck hijacking,1.0
Mbizana,Robbery of cash in transit,2.0
Mbizana,Bank robbery,0.0
Mbizana,Robbery at residential premises,113.0
Mbizana,Robbery at non-residential premises,240.0
Mbizana,Attempted sexual offences,41.0
Mbizana,Contact sexual offences,14.0
Mbizana,Sexual offences detected as a result of police action,2.0
Mbizana,Sexual offences,1305.0
Mbizana,TRIO crime,399.0
Mbizana,Contact crime (Crimes against the person),5406.0
Mbizana,Contact-related crime,782.0
Mbizana,Property-related crime,3307.0
Mbizana,Other serious crime,3404.0
Mbizana,Crime detected as a result of police action,1283.0
Mbizana,17 Community reported serious crime,12899.0
MaXesibeni,Murder,446.0
MaXesibeni,Attempted murder,117.0
MaXesibeni,Robbery with aggravating circumstances,512.0
MaXesibeni,Common robbery,176.0
MaXesibeni,Rape,601.0
MaXesibeni,Sexual assault,71.0
MaXesibeni,Kidnapping,59.0
MaXesibeni,Assault with the intent to inflict grievous bodily harm,2436.0
MaXesibeni,Common assault,876.0
MaXesibeni,Burglary at non-residential premises,617.0
MaXesibeni,Burglary at residential premises,1512.0
MaXesibeni,Stock-theft,545.0
MaXesibeni,Shoplifting,170.0
MaXesibeni,Theft of motor vehicle and motorcycle,61.0
MaXesibeni,Theft out of or from motor vehicle,478.0
MaXesibeni,All theft not mentioned elsewhere,874.0
MaXesibeni,Arson,130.0
MaXesibeni,Malicious damage to property,759.0
MaXesibeni,Commercial crime,362.0
MaXesibeni,Drug-related crime,270.0
MaXesibeni,Driving under the influence of alcohol or drugs,393.0
MaXesibeni,Illegal possession of firearms and ammunition,70.0
MaXesibeni,Carjacking,41.0
MaXesibeni,Truck hijacking,2.0
MaXesibeni,Robbery of cash in transit,7.0
MaXesibeni,Bank robbery,0.0
MaXesibeni,Robbery at residential premises,72.0
MaXesibeni,Robbery at non-residential premises,157.0
MaXesibeni,Attempted sexual offences,21.0
MaXesibeni,Contact sexual offences,11.0
MaXesibeni,Sexual offences detected as a result of police action,0.0
MaXesibeni,Sexual offences,704.0
MaXesibeni,TRIO crime,270.0
MaXesibeni,Contact crime (Crimes against the person),5267.0
MaXesibeni,Contact-related crime,889.0
MaXesibeni,Property-related crime,3213.0
MaXesibeni,Other serious crime,1406.0
MaXesibeni,Crime detected as a result of police action,733.0
MaXesibeni,17 Community reported serious crime,10775.0
KwaBhaca,Murder,608.0
KwaBhaca,Attempted murder,251.0
KwaBhaca,Robbery with aggravating circumstances,1536.0
KwaBhaca,Common robbery,314.0
KwaBhaca,Rape,1150.0
KwaBhaca,Sexual assault,153.0
KwaBhaca,Kidnapping,99.0
KwaBhaca,Assault with the intent to inflict grievous bodily harm,3437.0
KwaBhaca,Common assault,1668.0
KwaBhaca,Burglary at non-residential premises,963.0
KwaBhaca,Burglary at residential premises,2933.0
KwaBhaca,Stock-theft,1962.0
KwaBhaca,Shoplifting,921.0
KwaBhaca,Theft of motor vehicle and motorcycle,135.0
KwaBhaca,Theft out of or from motor vehicle,715.0
KwaBhaca,All theft not mentioned elsewhere,1901.0
KwaBhaca,Arson,117.0
KwaBhaca,Malicious damage to property,1159.0
KwaBhaca,Commercial crime,1174.0
KwaBhaca,Drug-related crime,1136.0
KwaBhaca,Driving under the influence of alcohol or drugs,750.0
KwaBhaca,Illegal possession of firearms and ammunition,232.0
KwaBhaca,Carjacking,61.0
KwaBhaca,Truck hijacking,5.0
KwaBhaca,Robbery of cash in transit,5.0
KwaBhaca,Bank robbery,0.0
KwaBhaca,Robbery at residential premises,307.0
KwaBhaca,Robbery at non-residential premises,313.0
KwaBhaca,Attempted sexual offences,18.0
KwaBhaca,Contact sexual offences,27.0
KwaBhaca,Sexual offences detected as a result of police action,3.0
KwaBhaca,Sexual offences,1348.0
KwaBhaca,TRIO crime,681.0
KwaBhaca,Contact crime (Crimes against the person),9162.0
KwaBhaca,Contact-related crime,1276.0
KwaBhaca,Property-related crime,6708.0
KwaBhaca,Other serious crime,3996.0
KwaBhaca,Crime detected as a result of police action,2121.0
KwaBhaca,17 Community reported serious crime,21142.0
Mpisi,Murder,48.0
Mpisi,Attempted murder,19.0
Mpisi,Robbery with aggravating circumstances,27.0
Mpisi,Common robbery,5.0
Mpisi,Rape,124.0
Mpisi,Sexual assault,19.0
Mpisi,Kidnapping,2.0
Mpisi,Assault with the intent to inflict grievous bodily harm,162.0
Mpisi,Common assault,39.0
Mpisi,Burglary at non-residential premises,50.0
Mpisi,Burglary at residential premises,31.0
Mpisi,Stock-theft,61.0
Mpisi,Shoplifting,0.0
Mpisi,Theft of motor vehicle and motorcycle,2.0
Mpisi,Theft out of or from motor vehicle,7.0
Mpisi,All theft not mentioned elsewhere,81.0
Mpisi,Arson,15.0
Mpisi,Malicious damage to property,36.0
Mpisi,Commercial crime,21.0
Mpisi,Drug-related crime,102.0
Mpisi,Driving under the influence of alcohol or drugs,3.0
Mpisi,Illegal possession of firearms and ammunition,28.0
Mpisi,Carjacking,0.0
Mpisi,Truck hijacking,0.0
Mpisi,Robbery of cash in transit,0.0
Mpisi,Bank robbery,0.0
Mpisi,Robbery at residential premises,7.0
Mpisi,Robbery at non-residential premises,15.0
Mpisi,Attempted sexual offences,10.0
Mpisi,Contact sexual offences,1.0
Mpisi,Sexual offences detected as a result of police action,0.0
Mpisi,Sexual offences,154.0
Mpisi,TRIO crime,22.0
Mpisi,Contact crime (Crimes against the person),454.0
Mpisi,Contact-related crime,51.0
Mpisi,Property-related crime,151.0
Mpisi,Other serious crime,102.0
Mpisi,Crime detected as a result of police action,133.0
Mpisi,17 Community reported serious crime,758.0
Mzamba,Murder,282.0
Mzamba,Attempted murder,104.0
Mzamba,Robbery with aggravating circumstances,406.0
Mzamba,Common robbery,86.0
Mzamba,Rape,553.0
Mzamba,Sexual assault,67.0
Mzamba,Kidnapping,28.0
Mzamba,Assault with the intent to inflict grievous bodily harm,1016.0
Mzamba,Common assault,476.0
Mzamba,Burglary at non-residential premises,403.0
Mzamba,Burglary at residential premises,1070.0
Mzamba,Stock-theft,141.0
Mzamba,Shoplifting,0.0
Mzamba,Theft of motor vehicle and motorcycle,32.0
Mzamba,Theft out of or from motor vehicle,83.0
Mzamba,All theft not mentioned elsewhere,568.0
Mzamba,Arson,59.0
Mzamba,Malicious damage to property,327.0
Mzamba,Commercial crime,162.0
Mzamba,Drug-related crime,274.0
Mzamba,Driving under the influence of alcohol or drugs,140.0
Mzamba,Illegal possession of firearms and ammunition,173.0
Mzamba,Carjacking,22.0
Mzamba,Truck hijacking,1.0
Mzamba,Robbery of cash in transit,3.0
Mzamba,Bank robbery,0.0
Mzamba,Robbery at residential premises,74.0
Mzamba,Robbery at non-residential premises,170.0
Mzamba,Attempted sexual offences,10.0
Mzamba,Contact sexual offences,10.0
Mzamba,Sexual offences detected as a result of police action,3.0
Mzamba,Sexual offences,640.0
Mzamba,TRIO crime,266.0
Mzamba,Contact crime (Crimes against the person),3010.0
Mzamba,Contact-related crime,386.0
Mzamba,Property-related crime,1729.0
Mzamba,Other serious crime,730.0
Mzamba,Crime detected as a result of police action,590.0
Mzamba,17 Community reported serious crime,5855.0
Ntabankulu,Murder,558.0
Ntabankulu,Attempted murder,178.0
Ntabankulu,Robbery with aggravating circumstances,618.0
Ntabankulu,Common robbery,148.0
Ntabankulu,Rape,762.0
Ntabankulu,Sexual assault,42.0
Ntabankulu,Kidnapping,36.0
Ntabankulu,Assault with the intent to inflict grievous bodily harm,3144.0
Ntabankulu,Common assault,1113.0
Ntabankulu,Burglary at non-residential premises,628.0
Ntabankulu,Burglary at residential premises,1010.0
Ntabankulu,Stock-theft,529.0
Ntabankulu,Shoplifting,236.0
Ntabankulu,Theft of motor vehicle and motorcycle,46.0
Ntabankulu,Theft out of or from motor vehicle,182.0
Ntabankulu,All theft not mentioned elsewhere,1123.0
Ntabankulu,Arson,169.0
Ntabankulu,Malicious damage to property,674.0
Ntabankulu,Commercial crime,369.0
Ntabankulu,Drug-related crime,394.0
Ntabankulu,Driving under the influence of alcohol or drugs,144.0
Ntabankulu,Illegal possession of firearms and ammunition,173.0
Ntabankulu,Carjacking,24.0
Ntabankulu,Truck hijacking,1.0
Ntabankulu,Robbery of cash in transit,1.0
Ntabankulu,Bank robbery,1.0
Ntabankulu,Robbery at residential premises,132.0
Ntabankulu,Robbery at non-residential premises,229.0
Ntabankulu,Attempted sexual offences,55.0
Ntabankulu,Contact sexual offences,12.0
Ntabankulu,Sexual offences detected as a result of police action,1.0
Ntabankulu,Sexual offences,871.0
Ntabankulu,TRIO crime,385.0
Ntabankulu,Contact crime (Crimes against the person),6630.0
Ntabankulu,Contact-related crime,843.0
Ntabankulu,Property-related crime,2395.0
Ntabankulu,Other serious crime,1728.0
Ntabankulu,Crime detected as a result of police action,712.0
Ntabankulu,17 Community reported serious crime,11596.0
Pholile,Murder,26.0
Pholile,Attempted murder,6.0
Pholile,Robbery with aggravating circumstances,30.0
Pholile,Common robbery,3.0
Pholile,Rape,111.0
Pholile,Sexual assault,23.0
Pholile,Kidnapping,4.0
Pholile,Assault with the intent to inflict grievous bodily harm,196.0
Pholile,Common assault,65.0
Pholile,Burglary at non-residential premises,47.0
Pholile,Burglary at residential premises,70.0
Pholile,Stock-theft,91.0
Pholile,Shoplifting,0.0
Pholile,Theft of motor vehicle and motorcycle,0.0
Pholile,Theft out of or from motor vehicle,3.0
Pholile,All theft not mentioned elsewhere,43.0
Pholile,Arson,5.0
Pholile,Malicious damage to property,55.0
Pholile,Commercial crime,7.0
Pholile,Drug-related crime,13.0
Pholile,Driving under the influence of alcohol or drugs,9.0
Pholile,Illegal possession of firearms and ammunition,20.0
Pholile,Carjacking,1.0
Pholile,Truck hijacking,0.0
Pholile,Robbery of cash in transit,0.0
Pholile,Bank robbery,0.0
Pholile,Robbery at residential premises,15.0
Pholile,Robbery at non-residential premises,3.0
Pholile,Attempted sexual offences,6.0
Pholile,Contact sexual offences,2.0
Pholile,Sexual offences detected as a result of police action,0.0
Pholile,Sexual offences,142.0
Pholile,TRIO crime,19.0
Pholile,Contact crime (Crimes against the person),468.0
Pholile,Contact-related crime,60.0
Pholile,Property-related crime,211.0
Pholile,Other serious crime,50.0
Pholile,Crime detected as a result of police action,42.0
Pholile,17 Community reported serious crime,789.0
Qhasa,Murder,35.0
Qhasa,Attempted murder,19.0
Qhasa,Robbery with aggravating circumstances,31.0
Qhasa,Common robbery,1.0
Qhasa,Rape,75.0
Qhasa,Sexual assault,7.0
Qhasa,Kidnapping,6.0
Qhasa,Assault with the intent to inflict grievous bodily harm,86.0
Qhasa,Common assault,30.0
Qhasa,Burglary at non-residential premises,39.0
Qhasa,Burglary at residential premises,41.0
Qhasa,Stock-theft,38.0
Qhasa,Shoplifting,0.0
Qhasa,Theft of motor vehicle and motorcycle,2.0
Qhasa,Theft out of or from motor vehicle,8.0
Qhasa,All theft not mentioned elsewhere,35.0
Qhasa,Arson,14.0
Qhasa,Malicious damage to property,43.0
Qhasa,Commercial crime,11.0
Qhasa,Drug-related crime,2.0
Qhasa,Driving under the influence of alcohol or drugs,0.0
Qhasa,Illegal possession of firearms and ammunition,20.0
Qhasa,Carjacking,3.0
Qhasa,Truck hijacking,1.0
Qhasa,Robbery of cash in transit,0.0
Qhasa,Bank robbery,0.0
Qhasa,Robbery at residential premises,5.0
Qhasa,Robbery at non-residential premises,8.0
Qhasa,Attempted sexual offences,1.0
Qhasa,Contact sexual offences,4.0
Qhasa,Sexual offences detected as a result of police action,0.0
Qhasa,Sexual offences,87.0
Qhasa,TRIO crime,16.0
Qhasa,Contact crime (Crimes against the person),289.0
Qhasa,Contact-related crime,57.0
Qhasa,Property-related crime,128.0
Qhasa,Other serious crime,46.0
Qhasa,Crime detected as a result of police action,22.0
Qhasa,17 Community reported serious crime,520.0
Adelaide,Murder,68.0
Adelaide,Attempted murder,61.0
Adelaide,Robbery with aggravating circumstances,148.0
Adelaide,Common robbery,64.0
Adelaide,Rape,120.0
Adelaide,Sexual assault,28.0
Adelaide,Kidnapping,13.0
Adelaide,Assault with the intent to inflict grievous bodily harm,614.0
Adelaide,Common assault,257.0
Adelaide,Burglary at non-residential premises,193.0
Adelaide,Burglary at residential premises,655.0
Adelaide,Stock-theft,268.0
Adelaide,Shoplifting,80.0
Adelaide,Theft of motor vehicle and motorcycle,28.0
Adelaide,Theft out of or from motor vehicle,136.0
Adelaide,All theft not mentioned elsewhere,448.0
Adelaide,Arson,14.0
Adelaide,Malicious damage to property,218.0
Adelaide,Commercial crime,191.0
Adelaide,Drug-related crime,377.0
Adelaide,Driving under the influence of alcohol or drugs,45.0
Adelaide,Illegal possession of firearms and ammunition,4.0
Adelaide,Carjacking,0.0
Adelaide,Truck hijacking,0.0
Adelaide,Robbery of cash in transit,0.0
Adelaide,Bank robbery,0.0
Adelaide,Robbery at residential premises,34.0
Adelaide,Robbery at non-residential premises,32.0
Adelaide,Attempted sexual offences,3.0
Adelaide,Contact sexual offences,9.0
Adelaide,Sexual offences detected as a result of police action,3.0
Adelaide,Sexual offences,160.0
Adelaide,TRIO crime,66.0
Adelaide,Contact crime (Crimes against the person),1372.0
Adelaide,Contact-related crime,232.0
Adelaide,Property-related crime,1280.0
Adelaide,Other serious crime,719.0
Adelaide,Crime detected as a result of police action,429.0
Adelaide,17 Community reported serious crime,3603.0
Alice,Murder,245.0
Alice,Attempted murder,116.0
Alice,Robbery with aggravating circumstances,1085.0
Alice,Common robbery,298.0
Alice,Rape,455.0
Alice,Sexual assault,45.0
Alice,Kidnapping,39.0
Alice,Assault with the intent to inflict grievous bodily harm,2793.0
Alice,Common assault,366.0
Alice,Burglary at non-residential premises,675.0
Alice,Burglary at residential premises,2397.0
Alice,Stock-theft,881.0
Alice,Shoplifting,255.0
Alice,Theft of motor vehicle and motorcycle,101.0
Alice,Theft out of or from motor vehicle,368.0
Alice,All theft not mentioned elsewhere,1895.0
Alice,Arson,51.0
Alice,Malicious damage to property,988.0
Alice,Commercial crime,770.0
Alice,Drug-related crime,1073.0
Alice,Driving under the influence of alcohol or drugs,305.0
Alice,Illegal possession of firearms and ammunition,105.0
Alice,Carjacking,37.0
Alice,Truck hijacking,3.0
Alice,Robbery of cash in transit,6.0
Alice,Bank robbery,0.0
Alice,Robbery at residential premises,184.0
Alice,Robbery at non-residential premises,220.0
Alice,Attempted sexual offences,84.0
Alice,Contact sexual offences,7.0
Alice,Sexual offences detected as a result of police action,2.0
Alice,Sexual offences,591.0
Alice,TRIO crime,441.0
Alice,Contact crime (Crimes against the person),5494.0
Alice,Contact-related crime,1039.0
Alice,Property-related crime,4422.0
Alice,Other serious crime,2920.0
Alice,Crime detected as a result of police action,1485.0
Alice,17 Community reported serious crime,13875.0
Balfour,Murder,43.0
Balfour,Attempted murder,15.0
Balfour,Robbery with aggravating circumstances,20.0
Balfour,Common robbery,4.0
Balfour,Rape,68.0
Balfour,Sexual assault,12.0
Balfour,Kidnapping,3.0
Balfour,Assault with the intent to inflict grievous bodily harm,348.0
Balfour,Common assault,56.0
Balfour,Burglary at non-residential premises,17.0
Balfour,Burglary at residential premises,253.0
Balfour,Stock-theft,198.0
Balfour,Shoplifting,0.0
Balfour,Theft of motor vehicle and motorcycle,9.0
Balfour,Theft out of or from motor vehicle,28.0
Balfour,All theft not mentioned elsewhere,146.0
Balfour,Arson,10.0
Balfour,Malicious damage to property,109.0
Balfour,Commercial crime,4.0
Balfour,Drug-related crime,40.0
Balfour,Driving under the influence of alcohol or drugs,5.0
Balfour,Illegal possession of firearms and ammunition,3.0
Balfour,Carjacking,1.0
Balfour,Truck hijacking,0.0
Balfour,Robbery of cash in transit,0.0
Balfour,Bank robbery,0.0
Balfour,Robbery at residential premises,5.0
Balfour,Robbery at non-residential premises,6.0
Balfour,Attempted sexual offences,6.0
Balfour,Contact sexual offences,1.0
Balfour,Sexual offences detected as a result of police action,0.0
Balfour,Sexual offences,87.0
Balfour,TRIO crime,12.0
Balfour,Contact crime (Crimes against the person),573.0
Balfour,Contact-related crime,119.0
Balfour,Property-related crime,505.0
Balfour,Other serious crime,150.0
Balfour,Crime detected as a result of police action,48.0
Balfour,17 Community reported serious crime,1347.0
